DateTime,Air temperature | (°C),Pressure | (atm),Wind speed | (m/s),Power generated by system | (MW),Predicted Power Generation | (MW)
2024-01-02 03:00:00,-2.703,0.991254,8.813,33.3709,33.03941399999996
2024-01-02 04:00:00,-3.204,0.991338,8.866,33.827400000000004,33.436932999999975
2024-01-02 05:00:00,-3.529,0.991458,8.949,33.8765,34.31942499999999
2024-01-02 06:00:00,-4.063,0.991947,8.518,29.513099999999998,29.645308999999994
2024-01-02 07:00:00,-4.453,0.992538,8.645,32.0246,31.922746000000025
2024-01-02 08:00:00,-5.077,0.993059,8.041,25.8397,25.624745000000004
2024-01-02 09:00:00,-5.459,0.993508,8.561,30.645799999999998,30.620121999999952
2024-01-02 10:00:00,-5.782,0.994135,7.39,19.4162,19.457740999999963
2024-01-02 11:00:00,-6.201,0.994834,8.286,28.084799999999998,28.077924000000024
2024-01-02 12:00:00,-6.524,0.995246,6.971,16.6971,16.54796500000002
2024-01-02 13:00:00,-6.89,0.995736,5.818,8.63931,8.748683200000011
2024-01-02 14:00:00,-6.769,0.996161,4.921,4.15653,4.175782799999994
2024-01-02 15:00:00,-5.901,0.996449,4.975,4.486560000000001,4.495132799999999
2024-01-02 16:00:00,-4.994,0.996292,4.035,1.5686900000000001,1.5489340000000007
2024-01-02 17:00:00,-3.947,0.995881,3.372,0.0,0.0
2024-01-02 18:00:00,-2.871,0.99553,3.662,0.734266,0.7216225399999999
2024-01-02 19:00:00,-1.869,0.995029,3.688,0.785912,0.7645473700000003
2024-01-02 20:00:00,-1.122,0.994554,3.879,1.18696,1.1916502
2024-01-02 21:00:00,-0.623,0.994004,3.846,1.11553,1.1119162000000018
2024-01-02 22:00:00,-0.797,0.993605,3.462,0.0,0.0
2024-01-02 23:00:00,-3.509,0.993442,4.074,1.51372,1.5416142000000028
2024-01-03 00:00:00,-4.454,0.99327,4.441,2.47024,2.5326900999999973
2024-01-03 01:00:00,-4.608,0.993158,3.582,0.0,0.0
2024-01-03 02:00:00,-4.668,0.992786,2.903,0.0,0.0
2024-01-03 03:00:00,-4.658,0.992518,2.949,0.0,0.0
2024-01-03 04:00:00,-4.785,0.992126,3.325,0.0,0.0
2024-01-03 05:00:00,-5.107,0.991674,2.695,0.0,0.0
2024-01-03 06:00:00,-5.299,0.991636,3.199,0.0,0.0
2024-01-03 07:00:00,-5.188,0.991826,3.802,0.985642,1.0056493999999996
2024-01-03 08:00:00,-5.208,0.991923,4.442,2.63196,2.602267399999998
2024-01-03 09:00:00,-5.023,0.991819,5.159,5.1498,5.168582500000008
2024-01-03 10:00:00,-5.166,0.991697,5.722,7.98208,8.284875000000005
